TO ADD AN UPCOMING EVENT TO THIS LIST FILL OUT THIS FORM:                                                                                                                                ,,,https://forms.gle/6y15wJ1d1mFMbfS57       ,,,,,,
Link to events in calendar format with filters:,,,IndianaResistanceAlliance.org,,,,,,
County,City,Date,Time (Local),Event Name,Location,Group,"Type (protest, town hall, ect.)",Notes/Info,
Allen,Fort Wayne,8/9/25,10 AM - 12 PM,Cafe con Fuerza: From Vibes to Realidad,"Tall Rabbit + Community, 2001 S Calhoun St",Fuerza Unida,Meeting,,
Elkhart,Elkhart,8/9/25,11 AM - 3 PM,Michiana Progress Fest & School Supply Drive (Sign Contest from 11 AM - 12 PM!),"Central Green Park Downtown Elkhart, 300 S Main St",Gabrianna Gratzol Hartman,Community,,
Elkhart,Goshen,8/9/25,10:30 AM,Goshen Call to Action,Rogers Park Pavilion,,Meeting,,
Hancock,Greenfield,8/9/25,9-11:45 PM,Democrat Groupies: Supporting the Arts,Aspen Tavern,Hancock County Democratic Party,Community,,
Hancock,Fortville,8/9/25,6-9 PM,Drinking Liberally,"Moon Drops Distillery, Blue Party Hat on Table",Hancock County Democratic Party,Community 21+,,
Jasper,De Motte,8/9/25,9 AM - 9:30 PM,Touch of Dutch Festival - Visit Jasper Co Dems Booth!,112 Carnation St SE,,Community,,
Kosciusko,Warsaw,8/9/25,2:30-4:30 PM,Immigrants Make America Great Rally,East Center St & North Detroit St,Kosciusko County Democratic Party,Protest,,
Lake,Crown Point,8/9/25,5-8 PM,Lake County Fair Protest,"Lake County Fairgrounds, Gate 2",Civic Strike,Protest,https://www.facebook.com/share/p/173BdPmWo2/?mibextid=wwXIfr,
Madison,Pendleton,8/9/25,12-3 PM,"Bystander Intervention Training (Pitch In Lunch @ 12, Training 1-3)",Fall Creek Friends Meeting House,Pendleton Pride,Training,,
Marion,Indianapolis,8/9/2025,11 AM - 3 PM,Indy Icebreaker: Mutual Aid and Volunteer Fair,"Garfield Park, Pool Shelter",,Community,multiple mutual aid & volunteer orgs,
Marion,Indianapolis,8/9/2025,12-1:30 PM,Cheaters Never Prosper,"Birch Bayh Federal Building, NE Corner",Hoosiers for Constitutional Democracy,Protest,,
Marion,Indianapolis,8/9/2025,12-2 PM,Summit Seekers: IN 50501 Rebrand w/ Transition Planning Committee,Ruth Lilly Visitors Pavilion,IN 50501,Meeting,"Virtual option via Zoom also, see virtual events tab",
Tippecanoe ,Lafayette ,8/9/25,11 AM - 1 PM,Chisme w/ Greater Lafayette Immigrant Allies,Mama Ines Bakery,Greater Lafayette Immigrant Allies,Community,,
Vanderburgh,Evansville,8/9/25,2-4 PM,Meet & Greet - Logan Patberg IN House District 76 Candidate,"Spankey's Una Pizza, 4404 W Lloyd Expwy",Patberg for Indiana,Meeting,https://facebook.com/events/s/meet-and-greet-with-logan-patb/9318093048292936/,
Warrick,Boonville,8/9/25,12-1 PM,Defend Democracy Protest,"Old Warrick County Courthouse, meet on the square",Boonville Resistance,Protest,,
Tippecanoe ,Lafayette ,8/10/25,12-2 PM,Tippecanoe Democrats Annual Picnic,"Columbian Park, Brown Shelter #2",Tippecanoe County Democrats,Community,https://www.mobilize.us/intippecanoecountydemocraticparty/event/809382/,
Franklin,Oldenburg,8/11/25,12:30-1:45 PM,Dignity for All,In Front of Sisters of St Francis Chapel,Indivisible,Protest,https://www.mobilize.us/indivisible/event/825055/,
Marion,Indianapolis,8/11/2025,,Court Support for James Phillips,Birch Bayh Federal Courthouse,IDOC Watch,Protest,https://www.facebook.com/share/16ka5JHVx1/?mibextid=wwXIfr,
Marion,Indianapolis,8/11/2025,6:00 PM,Indiana Beyond Coal Campaign: Protect our Progress Mixer,708 E Michigan St,Indiana Beyond Coal,Meeting,https://facebook.com/events/s/indiana-beyond-coal-campaign-p/1550249853015237/,
Vanderburgh,Evansville,8/11/25,11 AM - 1 PM,Pro Bono Indiana Free Legal Help w/ Expungement & Drivers License Issues,"Salvation Army, 1040 N Fulton Ave","Pro Bono Indiana, Salvation Army",Meeting,,
Adams,Decatur,8/12/25,6:30 PM,Adams County Dems Meeting & Postcard Stamps Drive,128 S 3rd St,Adams County Democrats,"Meeting, Stamp Drive",https://facebook.com/events/s/august-monthly-meeting/1271661104534388/,
Clark,Sellersburg,8/12/25,12-1 PM,Congresswoman Erin Houchin Luncheon!,The Chicken House,AFP Southern Indiana,Meeting,"Possible sign waving protest outside, Must RSVP to Angel: 8126209460",
Delaware,Muncie,8/12/25,4:30 PM,Collage Night - Social Justice Social,1809 W University Ave,,Community,https://www.instagram.com/p/DM-tcTPM2V-/?igsh=MTJoOWlpM3RjaWRyeQ==,
Delaware,Muncie,8/12/25,6-8 PM,Support Solar at the Planning Committee Meeting!,"Justice Center, 3100 S Tillotson Ave",Muncie Resists,Meeting,,
Lake,Merrillville,8/12/25,6:30 PM,LT Gov Micah Beckwith Town Hall,"Marine Corps League, 6880 Hendricks St",,Town Hall,Follow LT Governor Micah Beckwith FB page for more details/updates,
Marion,Indianapolis,8/12/2025,6:30-8 PM,Community Night: Refugee 102,Northminster Presbyterian Church,Exodus Refugee,Meeting,,
Miami,Peru,8/12/25,10-10:59 AM,No Concentration Camps in Miami County,"Miami County Correctional Facility, 3038 W 850 S, Bunker Hill",Miami County Democrats,Protest,Meet at back end of parking lot,
Cass,Logansport,8/13/25,6:00 PM,Left Wing Night,"Science Project Brewing Company, 611 North St",Cass County Democrats ,Community,https://www.eventbrite.com/e/left-wing-night-tickets-1297830348509,reserve tickets @ link in notes
Marion,Indianapolis,8/13/2025,6:30 PM,Dr Eve Ewing in Conversation w/ Senator Andrea Hunley,Arsenal Technical High School,,Community,https://www.eventbrite.com/e/dr-eve-l-ewing-in-conversation-with-senator-andrea-hunley-tickets-1389588078349,
St Joseph,South Bend,8/13/25,7 PM,Reading for Liberation Club - Pedagogy of the Oppressed,"The Well Coffeeshop, 2410 E Mishawaka Ave",Northern Indiana DSA,Reading group,https://www.facebook.com/northernindianadsa/posts/1166089515551494,
Dekalb,Auburn,8/14/25,6-8 PM,Dekalb Democrats Annual Picnic,Heimach Center,Dekalb County Democrats,Community,,
Laporte,Michigan City,8/14/25,6:00 PM,"State Reps Pat Boy & Angie Henzemen ""Stronger Together"" + Indivisible Updates",HOPE Center,Indivisible NWI,Meeting,,
Monroe,Bloomington,8/14/25,7 PM - 9 PM,Queer Connections: Writing Beyond,318 S Washington St,Women Writing for (a) Change,Community,https://www.womenwritingbloomington.org/,
Vanderburgh,Evansville,8/14/25,5:30-6:30 PM,Mayor Stephanie Terry Town Hall,Evansville Boys & Girls Club,,Town Hall,,
Vanderburgh,Evansville,8/14/25,5:00 PM,SW Indiana Right to Life Banquet - SIGN WAVING OUTSIDE,"Old National Events Plaza, 715 Locust St",,Protest,https://rtlswin.org/banquet2025/,
Boone,Whitestown,8/15/25,10 AM - 12 PM,Whitestown Dems Coffee Hour,6310 Albert S White Dr,Whitestown Dems,Community,,
Clinton,Frankfort,8/15/25,4-6 PM,Franklin County Protest,"Frankfort High School, Maish Rd & Hwy 28",Indivisible,Protest,,
Hendricks,Plainfield,8/15/25,10-11:30 AM,Hendricks County Democrats Coffee & Conversation,Cabin Coffee Company,Hendricks County Democrats,Community,,
Allen,Fort Wayne,8/16/25,10 AM - 12 PM,"Cafe con Fuerza: Mi Historia, Mi Voz","Tall Rabbit + Community, 2001 S Calhoun St",Fuerza Unida,Meeting,,
Boone,Zionsville ,8/16/25,1 PM - 7 PM,Zionsville Pride Festival,Mulberry Fields,Zionsville Pride,Protest,,
Boone,Zionsville ,8/16/25,4-7 PM,"Lincoln Lawn Party: Yakym, Spartz, Baird, Houchin Attending ","Elise Nieshalla, Indiana Comptroller, Residence",,Protest outside?,https://indiana.gop/event/lincoln-lawn-party/,
Gibson,Princeton,8/16/2025,1:00 PM,Princeton Resistance Protest & Food Drive,South Side of Square,Princeton Resistance,"Protest, Food Drive",,
Johnson,Nineveh,8/16/25,9:30 AM,LT Gov Beckwith Town Hall,"Cordry Sweetwater Clubhouse, 8751 Ninevah Rd",,Town Hall,,
Marion,Indianapolis,8/16/2025,11:00 AM,Garlic Market,4141 S East St,Philippine Cultural Community Center,Community,https://facebook.com/events/s/garlic-market/1849513885455785/,
Marion,Indianapolis,8/16/2025,12-3 PM,Protest Camp Atterbury: No Concentration Camps in Indiana,Indiana State House,50501,Protest,,
Marion,Indianapolis,8/16/2025,12-8 PM,BLQ + Pride Summer Fest,Garfield Park ,Indiana Pride of Color,Community,,
Monroe,Bloomington,8/16/25,2:30 PM,Recognizing Red Flags,1921 Liberty Dr,Bloomington Family Martial Arts,Community,https://facebook.com/events/s/recognizing-red-flags/701866229277997/,
St Joseph,South Bend,8/16/25,2-4 PM,St Joseph County Democrats Open House,2411 E Mishawaka Ave,St Joseph County Democrats,Meeting,,
St Joseph,Mishawaka,8/16/25,2-4 PM,Northern Indiana Democratic Socialists General Meeting,"Mishawaka Public Library, Main Branch, Eisen Meeting Room Downstairs",Northern Indiana Democratic Socialists,Meeting,,
Tippecanoe ,Lafayette ,8/16/25,4 PM - dusk,Help Register Voters at OUTfest,"Downtown Lafayette, 640 Main St",Greater Lafayette Indivisible,Voter Registration,https://www.mobilize.us/mobilize/event/819034/,
Tippecanoe ,Lafayette ,8/16/25,4-10 PM,Work @ Tippecanoe Dems Booth @ OUTfest,"Downtown Lafayette, 640 Main St",Tippecanoe County Democrats,Community,https://www.tippecanoedems.org/events-1/mosey-down-main-st-3aldd-s5m5z-dh9ke,
Tippecanoe ,Lafayette ,8/16/25,4 PM - 12 AM,OUTfest  ,"Downtown Lafayette, 640 Main St",Pride Lafayette,Protest,https://www.homeofpurdue.com/event/outfest-2025/19452/,
Tippecanoe ,Lafayette ,8/16/25,4 PM - 12 AM,Preserving Lafayette Queer History @ Outfest ,"Downtown Lafayette, 640 Main St, Booth C22",Tippecanoe County Historical Association,Community,https://www.instagram.com/p/DNAtizsMBPV/?igsh=MTB5bWM1a2dncDI5cg==,
Vanderburgh,Evansville,8/16/25,10-11:30 AM,Indivisible Evansville Launch Meeting,EVPL Central,Indivisible Evansville,Meeting,,
Vanderburgh,Evansville,8/16/25,12:15 - 3 PM,Pop Up Free Shop: Donate and/or Shop!,"TBA, check FB page for updates",No-Cost Co-Op,Community,https://facebook.com/events/s/pop-up-free-shop/1224726995615390/,
Allen,Fort Wayne,8/17/25,12-4 PM,"Northeast Indiana NOW @ Open Streets (Voter Registration, ERA Yes Petition)",910 S Calhoun St,Northeast Indiana NOW,Community,https://facebook.com/events/s/nein-now-at-open-streets-fort-/755485057431918/,
Hancock,Greenfield,8/17/25,3:30-5:00 PM,Hancock County Indivisible Meet & Greet,Spring Lake Community Center,Hancock County Indivisible,Meeting,https://www.mobilize.us/associationofindividualswhorefertothemselvesasindiana50501/event/824117/,
Porter,Valparaiso,8/17/25,5-7 PM,Fight Government Corruption Protest & Personal Hygiene Drive,"Porter County Courthouse, 16 E Lincolnway",NWI Activists ,"Protest, Hygiene Drive ",https://facebook.com/events/s/fight-the-government-corruptio/624071437403295/,
Delaware,Muncie,8/18/25,4:30 PM,Call Out Meeting: What is SJP,Muncie Liberation Studio,Ball State for Palestine,Meeting,,
Madison,Anderson,8/18/2025,,Court Support for James Phillips,Madison County Circuit Courts - 16 E 9th St,IDOC Watch,Protest,https://www.facebook.com/share/16ka5JHVx1/?mibextid=wwXIfr,
Vigo,Terre Haute,8/18/25,6:00 PM,Carbon Capture & Storage: CO2 Strategies & Taking Action,"VCPL, Room A in Basement",Greater Terre Haute NAACP Branch #3068,Informational,https://www.facebook.com/share/16n7XQq4JB/?mibextid=wwXIfr,
Allen,Fort Wayne,8/19/25,6:30 PM,Northeast Indiana NOW Monthly Meeting,Allen County Public Library,Northeast Indiana NOW,Meeting,https://northeastindiananow.com/,
Marion,Irvington,8/19/2025,6-8 PM,Make Signs & Make Friends for ICE Atterbury Protest,Crystal Creek Farm,,Sign Making,https://facebook.com/events/s/make-signs-make-friends/1875625589674023/,
Allen,Fort Wayne,8/20/25,7-9 PM,Community Meeting Wayne County Indivisible,"First Friends, 2010 Chester Blvd",Wayne County Indivisible,Meeting,,
Gibson,Princeton,8/20/25,6:30-7:30 PM,Gibson County Democrats Mtg,Princeton Public Library,Gibson County Democrats,Meeting,,
Hamilton,Carmel,8/20/25,7:30-9 AM,Protest Outside GOP Breakfast w/ Sen Young,"Bar Louie, 1111 W Main St",,Protest,https://hamiltoncountygop.org/calendarofevents/,
Lake,Merrillville,8/20/25,6-7:30 PM,Indivisible NWI August Meeting & Craft Supply Drive for Hilltop Neighborhood House,Merrillville Library,Indivisible NWI,"Meeting, Craft Supply Drive",,
Marion,Indianapolis,8/20/2025,5:30 PM,Indivisible Meet & Greet,Storage Space Art Gallery,Indivisible Central Indiana,Meeting,,
St Joseph,South Bend,8/20/25,7 PM,Reading for Liberation Club - Pedagogy of the Oppressed,"The Well Coffeeshop, 2410 E Mishawaka Ave",Northern Indiana DSA,Reading group,https://www.facebook.com/northernindianadsa/posts/1166089515551494,
Wayne,Richmond,8/20/25,6:00 PM,Wayne County Council Meeting on Morrison Reeves Library Renovations,401 E Main St,,Meeting,,
Marion,Indianapolis,8/21/2025,6-7 PM,"August DEI Book Club - ""The Trinity of Fundamentals"" by Wisam Rafeedie",The Whispering Shelf,The Whispering Shelf,Community,https://www.eventbrite.com/e/august-dei-book-club-tickets-1466684596109,
Tippecanoe ,West Lafayette ,8/21/25,6:30-8 PM,We All Belong - Greater Lafayette Mtg,"First United Methodist Church, 1700 Mitch Daniels Blvd",We All Belong Greater Lafayette,Meeting,https://www.takeactiongl.org/events-2-1/we-all-belong-meeting-adfjy-n7w2a-rnaj7-wat3w-x5r8x,
Vanderburgh,Evansville,8/21/25,5:30-7:30 PM,Mary Allen for US Congress Launch Party,Mo's House Bar,Mary Allen for Congress,Fundraiser,https://facebook.com/events/s/launch-celebration-fundraiser/1120608803296787/,
Vanderburgh,Evansville,8/21/25,6-7:30 PM,Know Your Neighbors: Immigration 101,"EVPL, 200 SE Martin Luther King Jr Blvd","BRIDGE, League of Women Voters Southwest Indiana",Meeting,https://facebook.com/events/s/know-your-neighbors-immigratio/641322594965989/,
Laporte,Michigan City,8/22/25,5-9 PM,Totally Dems Beach Bash (must purchase tickets - see link in notes),"Washington Park Beach, Picnic Shelter",LaPorte County Democrats,Fundraiser,https://www.mobilize.us/indems/event/820491/,
Tippecanoe ,West Lafayette ,8/22/25,6-8 PM,Law Enforcement Forum,"First United Methodist Church, 1700 Mitch Daniels Blvd",League of Women Voters of Greater Lafayette ,Meeting,,
Vigo,Terre Haute,8/22/25,5:30 PM,Vigo Democrats Event,"VFW, 1111 Veterans Square",Vigo Democrats,Meeting,,
Adams,Decatur,8/23/25,12-3 PM,Ecovision Fest,American Legion Park,Adams County Democrats,Community,https://facebook.com/events/s/ecovision-fest/1122005809834860/,
Allen,Fort Wayne,8/23/25,11 AM - 10:30 PM,Fiesta Fort Wayne,Headwaters Park,Fiesta Fort Wayne,Community,https://fiestafortwayne.com/,
Jackson,Seymour,8/23/25,10 AM - 12 PM,DemU: Victory thru VAN,Community Foundation of Jackson County,IN 9th District Democratic Party,Training,,
Johnson,Greenwood,8/23/25,11:00 AM - 1 PM,Camp Atterbury ICE Protest,Johnson County Park,,Protest,Follow Indianapolis Protest Finder FB for more details: https://www.facebook.com/share/g/1BxWfaM7B7/?mibextid=wwXIfr,
Marion,Indianapolis,8/23/2025,11:00 AM,IN Democrat African-American Caucus (IDAAC): Indy Meet & Greet,Julia Carson Government Center,IDAAC Indy,Meeting,,
Marion,Indianapolis,8/23/2025,12-6 PM,Indy Labor Fest,"Garfield Park, Macallister Amphitheater",AFL-CIO,Community,,
Marion,Indianapolis,8/23/2025,4-10 PM,St Monica International Festival,"St Monica Indy, 6131 Michigan Rd",,Community,https://facebook.com/events/s/st-monica-4th-annual-internati/698668232810050/,
Miami,Peru,8/23/25,8-6 PM,Peru Pride festival,Maconaquah Park,Peru Pride,Protest,https://facebook.com/events/s/peru-pride-festival-2025/1132468311539410/,
Monroe,Bloomington,8/23/25,TBD,Pridefest,Lincoln St & E Kirkwood Ave,Bloomington Pride,Protest,https://bloomingtonpride.org/pridefest,
Rush,Milroy,8/23/25,1-5 PM,Protest at Shreve's All American Picnic,5679 W State Rd 244,Jefferson Shreve for Congress,Community,https://dailyjournal.net/2025/05/15/shreve-to-hold-free-family-picnic-this-summer/,(Park @ Rush County Stone Co for shuttle)
Tippecanoe ,Lafayette ,8/23/25,11 AM - 1 PM,Chisme w/ Greater Lafayette Immigrant Allies,Mama Ines Bakery,Greater Lafayette Immigrant Allies,Community,,
Tippecanoe ,West Lafayette ,8/23/25,12-2 PM,B Involved Fair - Register Purdue Students to Vote,Purdue Memorial Mall,Greater Lafayette Indivisible,Voter Registration,,
Vigo,Terre Haute,8/23/25,10 AM - 12 PM,Terre Haute Protesr,Vigo County Courthouse,,Protest,,
Vigo,Terre Haute,8/23/25,10 AM - 2 PM,Homeless Awareness Day,Gilbert Park,The Loyal Veterans Battalion,Community,,
Vigo,Terre Haute,8/23/25,12-2 PM,Hoosier Voices Tour: Town Hall w/ Indiana Black Legislative Caucus ,City Hall Court Room,,Town Hall,,
Warrick,Newburgh,8/23/25,12-9 PM,Another Earth Day,Old Dam,,Community,https://artbytwymon.com/events/,
Hancock,Greenfield,8/24/25,10 AM - 12 PM,Hancock Co Dems Trash Clean Up US-40 between 400w & 150w,"Erlewein Mortuary, 1484 W US Hwy 40",Hancock County Democratic Party,Community,,
Marion,Indianapolis,8/24/2025,11 AM - 3 PM,Haircuts for Gaza Fundraiser for Middle East Childrens Alliance,Salon Citrine,,"Community, Fundraiser","Text your name to (317) 476-7375, will text you 30 min before your haircut; for more info: bit.ly/in4meca",
Tippecanoe ,Battle Ground,8/24/25,3-5 PM,Tippecanoe Township Democrats Meet Up,Tippecanoe Battlefield Park,Tippecanoe County Democrats,Meeting,,
Warrick,Newburgh,8/24/25,12-9 PM,Another Earth Day,Old Dam,,Community,https://artbytwymon.com/events/,
Delaware,Muncie,8/25/25,5:30- 6:30 PM,Progressive Discussion Group,Kennedy Public Library ,Muncie Resists,Meeting,https://www.mobilize.us/muncieresists/,
Adams,Decatur,8/26/25,TBD,Postcard Writing Party,TBD,Adams County Democrats,Postcard Writing,https://www.facebook.com/share/16ZB4qMwxd/?mibextid=wwXIfr,"(Postcards Provided, Bring Own Stamps)"
Allen,Fort Wayne,8/26/25,6:00 PM,Women's Equality Day ,Allen County Courthouse,"Indivisible, League of Women Voters, Be the Change",Protest,Arrive at 5:45 to link arms & form a human chain around the courthouse,
Knox,Vincennes,8/26/25,5-6 PM,Blue Dot Happy Hour,Kelso's 19th Hole,Knox County Indiana Democratic Party,Community,https://facebook.com/events/s/blue-dot-happy-hour/1096291129112580/,
St Joseph,South Bend,8/27/25,7 PM,Reading for Liberation Club - Pedagogy of the Oppressed,"The Well Coffeeshop, 2410 E Mishawaka Ave",Northern Indiana DSA,Reading group,https://www.facebook.com/northernindianadsa/posts/1166089515551494,
Vanderburgh,Evansville,8/28/25,8-9 PM,Overdose Awareness Vigil (Candles Provided),"201 NW 4th St, Suite 104",Evansville Recovery Alliance,Vigil,,
Clinton,Frankfort,8/29/25,4-6 PM,Franklin County Protest,"Frankfort High School, Maish Rd & Hwy 28",Indivisible,Protest,,
Allen,Fort Wayne,8/30/25,10 AM - 12 PM,Cafe con Fuerza,"Tall Rabbit + Community, 2001 S Calhoun St",Fuerza Unida,Meeting,,
Floyd,New Albany,8/30/25,11:00 AM,Harassment Prevention & Building Respectful Environments,Carnegie Cultural Arts Center,9th District Democratic Party,Training,https://mailchi.mp/b27047bfc414/demutraining-17994154,
Tippecanoe ,Lafayette ,8/30/25,11 AM-4 PM,43rd Lafayette Labor Family Day Picnic,Columbian Park,AFL-CIO,Community,,
Tippecanoe ,Lafayette ,8/30/25,6-11 PM,Work @ Tippecanoe Dems Booth during Mosey Down Main St,Main St,Tippecanoe County Democrats,Community,https://www.mobilize.us/intippecanoecountydemocraticparty/event/775518/,(sign up in notes)
Vanderburgh,Evansville,8/30/25,6-9 PM,"A Day of Remembrance, Fundraiser Evansville Recovery Alliance",4118 Pollack Ave,Evansville Recovery Alliance,Fundraiser,https://facebook.com/events/s/a-day-of-remembrance-let-it-be/1388840165625685/,
Whitley,Columbia City,8/30/25,1-3 PM,Support Workers Rights Protest,Whitley County Courthouse Square,Whitley County Democrats,Protest,,
Allen,Fort Wayne,9/1/25,11 AM - 3 PM,Labor Day 2025: Fort Wayne Picnic,Headwaters Park,AFL-CIO,Community,,
Allen,Fort Wayne,9/1/25,2-5 PM,You Work for Us So Get Back to Work,"Allen County Court Administration, 715 Calhoun St",Indivisible,Protest,,
Elkhart,Elkhart,9/1/25,11 AM - 2 PM,Elkhart Labor Day Parade,Main Street,AFL-CIO,Parade,,
Lake,Lowell,9/1/25,10 AM - 1 PM,Lowell Labor Day Festival,,AFL-CIO,Community,,
Porter,Valparaiso,9/1/25,12-2 PM,Labor Day Protest & Pet Food Drive,"Porter County Courthouse, 16 E Lincolnway",NWI Activists ,"Protest, Pet Food Drive",,
Vigo,Terre Haute,9/1/25,10:30 AM - 12:30 PM,Terre Haute Labor Day Parade,Wabash Ave & N 11th St,AFL-CIO,Parade,,
Warrick,Boonville,9/1/25,9 AM - 12 PM,139th Annual Labor Day Association Parade,,AFL-CIO,Parade,,
Knox,Vincennes,9/5/25,TBD,"Brats, Beers, & Blue Jeans","Knox County Dems HQ, 1010 Washington Ave",Knox County Indiana Democratic Party,Community,,
Bartholomew,Columbus,9/6/25,12-6 PM,Columbus Protect Pride Fest,Mill Race Park,Columbus IN Pride,Protest,https://www.columbusinpride.org/,
Delaware,Muncie,9/6/25,2-7 PM,Muncie Pride,Cannon Commons,Muncie OUTreach,Protest,https://facebook.com/events/s/muncie-pride/1207718513848517/,
Marion,Indianapolis,9/6/2025,12-2 PM,"Letter Writing Party Send Aid to Gaza, Stop Investing in Israel",1915 W 18th St,Central Indiana Democratic Socialists of America,Letter Writing,,
Martin,Loogootee,9/6/25,10 AM - 4 PM,Pride Fest,Downtown Loogootee,,Protest,https://www.facebook.com/share/p/15i3LUiBwh/?mibextid=wwXIfr,
Tippecanoe ,Lafayette ,9/6/25,11 AM - 1 PM,Chisme w/ Greater Lafayette Immigrant Allies,Mama Ines Bakery,Greater Lafayette Immigrant Allies,Community,,
Johnson,Greenwood,9/7/25,5:30-7 PM,Housing not Concentration Camps (Camp Atterbury ICE Protest),"Rep Shreve Office, 300 S Madison Ave",,Protest,Follow Indianapolis Protest Finder FB for more details: https://www.facebook.com/share/g/1BxWfaM7B7/?mibextid=wwXIfr,
Vanderburgh,Evansville,9/7/25,2-4 PM,Rally for Kindness,TBD,Bright Initiative,Community,https://facebook.com/events/s/rally-for-kindness/1622663245073277/,
Hancock,Greenfield,9/9/25,5:30 PM,GOP Lincoln Day Dinner w/ Gov Braun - protest outside,"Barn at Silverstone Farm, 6508 W 100 N",,Protest,https://indiana.gop/event/hancock-county-lincoln-day-dinner/,
Cass,Logansport,9/10/25,6:00 PM,Left Wing Night,"Science Project Brewing Company, 611 North St",Cass County Democrats ,Community,https://www.eventbrite.com/e/left-wing-night-tickets-1297830348509,reserve tickets @ link in notes
Marion,Indianapolis,9/11/2025,5-8 PM,Charting America's Future - Protest Outside! ,Indiana State Museum,Mitch Daniels Leadership Foundation,Protest,https://www.mdlfindiana.org/annual-event,
Allen,Fort Wayne,9/13/25,1-5 PM,Larry Hayes 1st Amendment Forum,ACPL Main Branch,Citizens United for Separation of Church & State,Meeting,,
St Joseph,South Bend,9/13/25,12-2 PM,Hoosier Voices Town Hall w/ Indiana Black Legislative Caucus ,UAW Local 5,,Town hall,,
Vigo,Terre Haute,9/13/25,3-8 PM,Terre Haute Pride Fest,Fairbanks Park,,Protest,https://facebook.com/events/s/2025-terre-haute-pride-fest/695867109565726/,
White,Monticello,9/14/25,12:30 PM,Rockstar Brunch YWCA Fundraiser (must purchase tickets),"Madam Carroll, 12244 N Upper Lakeshore Dr",YWCA Greater Lafayette,"Community, Fundraiser",https://www.ywcalafayette.org/rockstar-brunch,
Boone,Zionsville ,9/15/25,7:00 PM,Navigating Tough Conversations w/ State Sen JD Ford,"Austin Oaks Clubhouse, 11985 W 131st St",Boone County Democrats ,Meeting,,
Vigo,Terre Haute,9/15/25,6:00 PM,United Way - Neighbors Helping Neighbors,"VCPL, Room A in Basement",Greater Terre Haute NAACP Branch #3068,Informational,https://www.facebook.com/share/16n7XQq4JB/?mibextid=wwXIfr,
Vanderburgh,Evansville,9/19/25,6-8 PM,Why Aren't You Outraged? Art Activism Show,"Twymon Art Gallery, 1015 Lincoln Ave",,Community,https://artbytwymon.com/events/,
Brown,Nashville,9/20/25,5:30 PM,Protest Outside GOP Big Beautiful Bash,"200 Camp Moneto Rd, Off of SR 46 E",,Protest,,
